policy_id,is_claim
ID50001,0
ID50002,0
ID50003,0
ID50004,0
ID50005,0
ID50006,0
ID50007,0
ID50008,0
ID50009,0
ID50010,0
ID50011,0
ID50012,0
ID50013,0
ID50014,0
ID50015,0
ID50016,0
ID50017,0
ID50018,0
ID50019,0
ID50020,0
ID50021,0
ID50022,0
ID50023,0
ID50024,0
ID50025,0
ID50026,0
ID50027,0
ID50028,0
ID50029,0
ID50030,0
ID50031,0
ID50032,0
ID50033,0
ID50034,0
ID50035,0
ID50036,0
ID50037,0
ID50038,0
ID50039,0
ID50040,0
ID50041,0
ID50042,0
ID50043,0
ID50044,0
ID50045,0
ID50046,0
ID50047,0
ID50048,0
ID50049,0
ID50050,0
ID50051,0
ID50052,0
ID50053,0
ID50054,0
ID50055,0
ID50056,0
ID50057,0
ID50058,0
ID50059,0
ID50060,0
ID50061,0
ID50062,0
ID50063,0
ID50064,0
ID50065,0
ID50066,0
ID50067,0
ID50068,0
ID50069,0
ID50070,0
ID50071,0
ID50072,0
ID50073,0
ID50074,0
ID50075,0
ID50076,0
ID50077,0
ID50078,0
ID50079,0
ID50080,0
ID50081,0
ID50082,0
ID50083,0
ID50084,0
ID50085,0
ID50086,0
ID50087,0
ID50088,0
ID50089,0
ID50090,0
ID50091,0
ID50092,0
ID50093,0
ID50094,0
ID50095,0
ID50096,0
ID50097,0
ID50098,0
ID50099,0
ID50100,0
ID50101,0
ID50102,0
ID50103,0
ID50104,0
ID50105,0
ID50106,0
ID50107,0
ID50108,0
ID50109,0
ID50110,0
ID50111,0
ID50112,0
ID50113,0
ID50114,0
ID50115,0
ID50116,0
ID50117,0
ID50118,0
ID50119,0
ID50120,0
ID50121,0
ID50122,0
ID50123,0
ID50124,0
ID50125,0
ID50126,0
ID50127,0
ID50128,0
ID50129,0
ID50130,0
ID50131,0
ID50132,0
ID50133,0
ID50134,0
ID50135,0
ID50136,0
ID50137,0
ID50138,0
ID50139,0
ID50140,0
ID50141,0
ID50142,0
ID50143,0
ID50144,0
ID50145,0
ID50146,0
ID50147,0
ID50148,0
ID50149,0
ID50150,0
ID50151,0
ID50152,0
ID50153,0
ID50154,0
ID50155,0
ID50156,0
ID50157,0
ID50158,0
ID50159,0
ID50160,0
ID50161,0
ID50162,0
ID50163,0
ID50164,0
ID50165,0
ID50166,0
ID50167,0
ID50168,0
ID50169,0
ID50170,0
ID50171,0
ID50172,0
ID50173,0
ID50174,0
ID50175,0
ID50176,0
ID50177,0
ID50178,0
ID50179,0
ID50180,0
ID50181,0
ID50182,0
ID50183,0
ID50184,0
ID50185,0
ID50186,0
ID50187,0
ID50188,0
ID50189,0
ID50190,0
ID50191,0
ID50192,0
ID50193,0
ID50194,0
ID50195,0
ID50196,0
ID50197,0
ID50198,0
ID50199,0
ID50200,0
ID50201,0
ID50202,0
ID50203,0
ID50204,0
ID50205,0
ID50206,0
ID50207,0
ID50208,0
ID50209,0
ID50210,0
ID50211,0
ID50212,0
ID50213,0
ID50214,0
ID50215,0
ID50216,0
ID50217,0
ID50218,0
ID50219,0
ID50220,0
ID50221,0
ID50222,0
ID50223,0
ID50224,0
ID50225,0
ID50226,0
ID50227,0
ID50228,0
ID50229,0
ID50230,0
ID50231,0
ID50232,0
ID50233,0
ID50234,0
ID50235,0
ID50236,0
ID50237,0
ID50238,0
ID50239,0
ID50240,0
ID50241,0
ID50242,0
ID50243,0
ID50244,0
ID50245,0
ID50246,0
ID50247,0
ID50248,0
ID50249,0
ID50250,0
ID50251,0
ID50252,0
ID50253,0
ID50254,0
ID50255,0
ID50256,0
ID50257,0
ID50258,0
ID50259,0
ID50260,0
ID50261,0
ID50262,0
ID50263,0
ID50264,0
ID50265,0
ID50266,0
ID50267,0
ID50268,0
ID50269,0
ID50270,0
ID50271,0
ID50272,0
ID50273,0
ID50274,0
ID50275,0
ID50276,0
ID50277,0
ID50278,0
ID50279,0
ID50280,0
ID50281,0
ID50282,0
ID50283,0
ID50284,0
ID50285,0
ID50286,0
ID50287,0
ID50288,0
ID50289,0
ID50290,0
ID50291,0
ID50292,0
ID50293,0
ID50294,0
ID50295,0
ID50296,0
ID50297,0
ID50298,0
ID50299,0
ID50300,0
ID50301,0
ID50302,0
ID50303,0
ID50304,0
ID50305,0
ID50306,0
ID50307,0
ID50308,0
ID50309,0
ID50310,0
ID50311,0
ID50312,0
ID50313,0
ID50314,0
ID50315,0
ID50316,0
ID50317,0
ID50318,0
ID50319,0
ID50320,0
ID50321,0
ID50322,0
ID50323,0
ID50324,0
ID50325,0
ID50326,0
ID50327,0
ID50328,0
ID50329,0
ID50330,0
ID50331,0
ID50332,0
ID50333,0
ID50334,0
ID50335,0
ID50336,0
ID50337,0
ID50338,0
ID50339,0
ID50340,0
ID50341,0
ID50342,0
ID50343,0
ID50344,0
ID50345,0
ID50346,0
ID50347,0
ID50348,0
ID50349,0
ID50350,0
ID50351,0
ID50352,0
ID50353,0
ID50354,0
ID50355,0
ID50356,0
ID50357,0
ID50358,0
ID50359,0
ID50360,0
ID50361,0
ID50362,0
ID50363,0
ID50364,0
ID50365,0
ID50366,0
ID50367,0
ID50368,0
ID50369,0
ID50370,0
ID50371,0
ID50372,0
ID50373,0
ID50374,0
ID50375,0
ID50376,0
ID50377,0
ID50378,0
ID50379,0
ID50380,0
ID50381,0
ID50382,0
ID50383,0
ID50384,0
ID50385,0
ID50386,0
ID50387,0
ID50388,0
ID50389,0
ID50390,0
ID50391,0
ID50392,0
ID50393,0
ID50394,0
ID50395,0
ID50396,0
ID50397,0
ID50398,0
ID50399,0
ID50400,0
ID50401,0
ID50402,0
ID50403,0
ID50404,0
ID50405,0
ID50406,0
ID50407,0
ID50408,0
ID50409,0
ID50410,0
ID50411,0
ID50412,0
ID50413,0
ID50414,0
ID50415,0
ID50416,0
ID50417,0
ID50418,0
ID50419,0
ID50420,0
ID50421,0
ID50422,0
ID50423,0
ID50424,0
ID50425,0
ID50426,0
ID50427,0
ID50428,0
ID50429,0
ID50430,0
ID50431,0
ID50432,0
ID50433,0
ID50434,0
ID50435,0
ID50436,0
ID50437,0
ID50438,0
ID50439,0
ID50440,0
ID50441,0
ID50442,0
ID50443,0
ID50444,0
ID50445,0
ID50446,0
ID50447,0
ID50448,0
ID50449,0
ID50450,0
ID50451,0
ID50452,0
ID50453,0
ID50454,0
ID50455,0
ID50456,0
ID50457,0
ID50458,0
ID50459,0
ID50460,0
ID50461,0
ID50462,0
ID50463,0
ID50464,0
ID50465,0
ID50466,0
ID50467,0
ID50468,0
ID50469,0
ID50470,0
ID50471,0
ID50472,0
ID50473,0
ID50474,0
ID50475,0
ID50476,0
ID50477,0
ID50478,0
ID50479,0
ID50480,0
ID50481,0
ID50482,0
ID50483,0
ID50484,0
ID50485,0
ID50486,0
ID50487,0
ID50488,0
ID50489,0
ID50490,0
ID50491,0
ID50492,0
ID50493,0
ID50494,0
ID50495,0
ID50496,0
ID50497,0
ID50498,0
ID50499,0
ID50500,0
ID50501,0
ID50502,0
ID50503,0
ID50504,0
ID50505,0
ID50506,0
ID50507,0
ID50508,0
ID50509,0
ID50510,0
ID50511,0
ID50512,0
ID50513,0
ID50514,0
ID50515,0
ID50516,0
ID50517,0
ID50518,0
ID50519,0
ID50520,0
ID50521,0
ID50522,0
ID50523,0
ID50524,0
ID50525,0
ID50526,0
ID50527,0
ID50528,0
ID50529,0
ID50530,0
ID50531,0
ID50532,0
ID50533,0
ID50534,0
ID50535,0
ID50536,0
ID50537,0
ID50538,0
ID50539,0
ID50540,0
ID50541,0
ID50542,0
ID50543,0
ID50544,0
ID50545,0
ID50546,0
ID50547,0
ID50548,0
ID50549,0
ID50550,0
ID50551,0
ID50552,0
ID50553,0
ID50554,0
ID50555,0
ID50556,0
ID50557,0
ID50558,0
ID50559,0
ID50560,0
ID50561,0
ID50562,0
ID50563,0
ID50564,0
ID50565,0
ID50566,0
ID50567,0
ID50568,0
ID50569,0
ID50570,0
ID50571,0
ID50572,0
ID50573,0
ID50574,0
ID50575,0
